country, year, suicide_no, population, suicide/100K pop, suicide_rate_trend
Albania, 1987, 73.0, 2709600.0, 31.85, N/A, N/A
Albania, 1988, 63.0, 2764300.0, 32.46, Increase, 0.61
Albania, 1989, 68.0, 2803100.0, 33.40, Increase, 0.94
Albania, 1992, 47.0, 2822500.0, 18.00, Decrease, -15.40
Albania, 1993, 73.0, 2807300.0, 32.56, Increase, 14.56
Albania, 1994, 50.0, 2849300.0, 32.18, Decrease, -0.38
Albania, 1995, 88.0, 2903400.0, 40.55, Increase, 8.37
Albania, 1996, 89.0, 2940200.0, 43.62, Increase, 3.07
Albania, 1997, 170.0, 2977300.0, 77.43, Increase, 33.81
Albania, 1998, 154.0, 3012700.0, 66.52, Decrease, -10.91
Albania, 1999, 139.0, 3029700.0, 69.81, Increase, 3.29
Albania, 2000, 54.0, 2796300.0, 30.70, Decrease, -39.11
Albania, 2001, 119.0, 2799349.0, 50.62, Increase, 19.92
Albania, 2002, 133.0, 2818839.0, 62.51, Increase, 11.89
Albania, 2003, 124.0, 2843929.0, 58.60, Decrease, -3.91
Albania, 2004, 146.0, 2874991.0, 65.39, Increase, 6.79
Albania, 2005, 0.0, 2783320.0, 0.00, Decrease, -65.39
Albania, 2006, 0.0, 2780176.0, 0.00, Remain, 0.00
Albania, 2007, 124.0, 2770344.0, 65.85, Increase, 65.85
Albania, 2008, 160.0, 2757059.0, 71.05, Increase, 5.20
Albania, 2009, 0.0, 2745735.0, 0.00, Decrease, -71.05
Albania, 2010, 96.0, 2736025.0, 41.66, Increase, 41.66
Antigua and Barbuda, 1985, 0.0, 62574.0, 0.00, N/A, N/A
Antigua and Barbuda, 1986, 0.0, 61270.0, 0.00, Remain, 0.00
Antigua and Barbuda, 1987, 0.0, 60261.0, 0.00, Remain, 0.00
Antigua and Barbuda, 1988, 0.0, 59564.0, 0.00, Remain, 0.00
Antigua and Barbuda, 1989, 0.0, 59238.0, 0.00, Remain, 0.00
Antigua and Barbuda, 1990, 1.0, 59334.0, 17.24, Increase, 17.24
Antigua and Barbuda, 1991, 0.0, 60394.0, 0.00, Decrease, -17.24
Antigua and Barbuda, 1992, 0.0, 61741.0, 0.00, Remain, 0.00
Antigua and Barbuda, 1993, 1.0, 63315.0, 15.00, Increase, 15.00
Antigua and Barbuda, 1994, 0.0, 65044.0, 0.00, Decrease, -15.00
Antigua and Barbuda, 1995, 0.0, 66846.0, 0.00, Remain, 0.00
Antigua and Barbuda, 1998, 0.0, 72225.0, 0.00, Remain, 0.00
Antigua and Barbuda, 1999, 0.0, 73832.0, 0.00, Remain, 0.00
Antigua and Barbuda, 2000, 2.0, 75326.0, 39.97, Increase, 39.97
Antigua and Barbuda, 2001, 2.0, 76497.0, 19.45, Decrease, -20.52
Antigua and Barbuda, 2002, 0.0, 77588.0, 0.00, Decrease, -19.45
Antigua and Barbuda, 2003, 1.0, 78658.0, 27.82, Increase, 27.82
Antigua and Barbuda, 2004, 2.0, 79722.0, 36.06, Increase, 8.24
Antigua and Barbuda, 2005, 0.0, 80809.0, 0.00, Decrease, -36.06
Antigua and Barbuda, 2006, 0.0, 81973.0, 0.00, Remain, 0.00
Antigua and Barbuda, 2007, 1.0, 83131.0, 7.98, Increase, 7.98
Antigua and Barbuda, 2008, 0.0, 84273.0, 0.00, Decrease, -7.98
Antigua and Barbuda, 2009, 0.0, 85405.0, 0.00, Remain, 0.00
Antigua and Barbuda, 2012, 0.0, 88703.0, 0.00, Remain, 0.00
Antigua and Barbuda, 2013, 0.0, 89779.0, 0.00, Remain, 0.00
Antigua and Barbuda, 2014, 0.0, 90837.0, 0.00, Remain, 0.00
Antigua and Barbuda, 2015, 1.0, 91889.0, 15.62, Increase, 15.62
Argentina, 1985, 1988.0, 2.70908E7, 134.47, N/A, N/A
Argentina, 1986, 2284.0, 2.72444E7, 152.90, Increase, 18.43
Argentina, 1987, 2286.0, 2.75994E7, 144.98, Decrease, -7.92
Argentina, 1988, 2354.0, 2.8308E7, 146.24, Increase, 1.26
Argentina, 1989, 2247.0, 2.8702E7, 138.93, Decrease, -7.31
Argentina, 1990, 2140.0, 2.90911E7, 134.90, Decrease, -4.03
Argentina, 1991, 1951.0, 2.9623E7, 119.24, Decrease, -15.66
Argentina, 1992, 2184.0, 3.00454E7, 126.86, Increase, 7.62
Argentina, 1993, 2230.0, 3.04775E7, 134.77, Increase, 7.91
Argentina, 1994, 2241.0, 3.09112E7, 122.05, Decrease, -12.72
Argentina, 1995, 2204.0, 3.13454E7, 119.97, Decrease, -2.08
Argentina, 1996, 2229.0, 3.17807E7, 118.03, Decrease, -1.94
Argentina, 1997, 2184.0, 3.233378E7, 111.40, Decrease, -6.63
Argentina, 1998, 2347.0, 3.2757256E7, 116.93, Increase, 5.53
Argentina, 1999, 2423.0, 3.317486E7, 117.19, Increase, 0.26
Argentina, 2000, 2774.0, 3.3585532E7, 131.39, Increase, 14.20
Argentina, 2001, 3132.0, 3.4010944E7, 143.56, Increase, 12.17
Argentina, 2002, 3162.0, 3.4407508E7, 139.42, Decrease, -4.14
Argentina, 2003, 3289.0, 3.4785904E7, 146.29, Increase, 6.87
Argentina, 2004, 3121.0, 3.5162944E7, 131.06, Decrease, -15.23
Argentina, 2005, 3058.0, 3.5550616E7, 128.18, Decrease, -2.88
Argentina, 2006, 3108.0, 3.5918888E7, 128.22, Increase, 0.04
Argentina, 2007, 2946.0, 3.6315492E7, 118.35, Decrease, -9.87
Argentina, 2008, 3059.0, 3.673352E7, 118.11, Decrease, -0.24
Argentina, 2009, 2884.0, 3.7158008E7, 107.32, Decrease, -10.79
Argentina, 2010, 2943.0, 3.7578456E7, 111.24, Increase, 3.92
Argentina, 2011, 2912.0, 3.8015736E7, 105.87, Decrease, -5.37
Argentina, 2012, 3248.0, 3.8441776E7, 119.82, Increase, 13.95
Argentina, 2013, 2987.0, 3.8859128E7, 103.42, Decrease, -16.40
Argentina, 2014, 3231.0, 3.927656E7, 111.35, Increase, 7.93
Argentina, 2015, 3073.0, 3.9699628E7, 112.13, Increase, 0.78
Armenia, 1990, 93.0, 2983700.0, 41.12, N/A, N/A
Armenia, 1991, 80.0, 3230800.0, 45.87, Increase, 4.75
Armenia, 1992, 83.0, 3308700.0, 40.86, Decrease, -5.01
Armenia, 1993, 106.0, 3366600.0, 51.05, Increase, 10.19
Armenia, 1994, 112.0, 3402500.0, 66.73, Increase, 15.68
Armenia, 1995, 130.0, 3443200.0, 51.79, Decrease, -14.94
Armenia, 1996, 87.0, 3486300.0, 37.05, Decrease, -14.74
Armenia, 1997, 77.0, 3526700.0, 32.23, Decrease, -4.82
Armenia, 1998, 66.0, 3558000.0, 27.42, Decrease, -4.81
Armenia, 1999, 67.0, 3580700.0, 24.68, Decrease, -2.74
Armenia, 2000, 61.0, 3606500.0, 34.30, Increase, 9.62
Armenia, 2001, 60.0, 3610516.0, 29.78, Decrease, -4.52
Armenia, 2002, 74.0, 3014844.0, 38.07, Increase, 8.29
Armenia, 2003, 59.0, 3024366.0, 33.43, Decrease, -4.64
Armenia, 2006, 78.0, 2764396.0, 43.67, Increase, 10.24
Armenia, 2007, 71.0, 2735313.0, 39.02, Decrease, -4.65
Armenia, 2008, 63.0, 3045391.0, 35.15, Decrease, -3.87
Armenia, 2009, 53.0, 2689695.0, 33.70, Decrease, -1.45
Armenia, 2010, 73.0, 2676225.0, 40.41, Increase, 6.71
Armenia, 2011, 67.0, 2670366.0, 32.98, Decrease, -7.43
Armenia, 2012, 79.0, 2814300.0, 36.57, Increase, 3.59
Armenia, 2013, 67.0, 2810664.0, 37.48, Increase, 0.91
Armenia, 2014, 58.0, 2803029.0, 37.01, Decrease, -0.47
Armenia, 2015, 74.0, 2795335.0, 45.28, Increase, 8.27
Aruba, 1995, 67.0, 2412102.0, 40.56, N/A, N/A
Aruba, 1999, 8.0, 75219.0, 308.51, Increase, 267.95
Aruba, 2000, 9.0, 82312.0, 115.47, Decrease, -193.04
Aruba, 2001, 10.0, 84247.0, 305.33, Increase, 189.86
Aruba, 2002, 4.0, 86381.0, 27.28, Decrease, -278.05
Aruba, 2003, 9.0, 88556.0, 126.46, Increase, 99.18
Aruba, 2004, 2.0, 90602.0, 12.93, Decrease, -113.53
Aruba, 2005, 8.0, 92319.0, 176.72, Increase, 163.79
Aruba, 2006, 10.0, 93629.0, 99.58, Decrease, -77.14
Aruba, 2007, 9.0, 94354.0, 96.31, Decrease, -3.27
Aruba, 2008, 8.0, 94631.0, 92.19, Decrease, -4.12
Aruba, 2009, 4.0, 94667.0, 41.44, Decrease, -50.75
Aruba, 2010, 4.0, 94759.0, 42.23, Increase, 0.79
Aruba, 2011, 7.0, 94832.0, 58.65, Increase, 16.42
Australia, 1985, 17.0, 2603100.0, 94.05, N/A, N/A
Australia, 1986, 1872.0, 1.45315E7, 164.27, Increase, 70.22
Australia, 1987, 2032.0, 1.4785E7, 174.85, Increase, 10.58
Australia, 1988, 2164.0, 1.5045E7, 188.82, Increase, 13.97
Australia, 1989, 2174.0, 1.53285E7, 179.48, Decrease, -9.34
Australia, 1990, 2062.0, 1.55863E7, 167.79, Decrease, -11.69
Australia, 1991, 2207.0, 1.5824E7, 172.75, Increase, 4.96
Australia, 1992, 2284.0, 1.60269E7, 179.83, Increase, 7.08
Australia, 1993, 2252.0, 1.62146E7, 170.71, Decrease, -9.12
Australia, 1994, 2035.0, 1.63836E7, 154.72, Decrease, -15.99
Australia, 1995, 2283.0, 1.65839E7, 167.74, Increase, 13.02
Australia, 1996, 2181.0, 1.67928E7, 156.04, Decrease, -11.70
Australia, 1997, 2425.0, 1.7031032E7, 175.26, Increase, 19.22
Australia, 1998, 2640.0, 1.7237404E7, 186.45, Increase, 11.19
Australia, 1999, 2640.0, 1.7442112E7, 177.01, Decrease, -9.44
Australia, 2000, 2481.0, 1.766208E7, 166.62, Decrease, -10.39
Australia, 2001, 2390.0, 1.7892154E7, 157.75, Decrease, -8.87
Australia, 2002, 2458.0, 1.81393E7, 158.79, Increase, 1.04
Australia, 2003, 2325.0, 1.8373722E7, 145.12, Decrease, -13.67
Australia, 2004, 2150.0, 1.8623046E7, 133.39, Decrease, -11.73
Australia, 2006, 2114.0, 1.885918E7, 133.76, Increase, 0.37
Australia, 2007, 2121.0, 1.9118246E7, 128.18, Decrease, -5.58
Australia, 2008, 2228.0, 1.974114E7, 130.17, Increase, 1.99
Australia, 2009, 2333.0, 2.0131214E7, 129.92, Decrease, -0.25
Australia, 2010, 2345.0, 2.053532E7, 130.69, Increase, 0.77
Australia, 2011, 2425.0, 2.0853864E7, 133.01, Increase, 2.32
Australia, 2012, 2392.0, 2.0917594E7, 133.21, Increase, 0.20
Australia, 2013, 2586.0, 2.1281414E7, 139.94, Increase, 6.73
Australia, 2014, 2607.0, 2.1641008E7, 138.72, Decrease, -1.22
Australia, 2015, 2884.0, 2.1968736E7, 148.57, Increase, 9.85
Austria, 1985, 3021.0, 2.0234058E7, 154.92, N/A, N/A
Austria, 1986, 2089.0, 7093351.0, 384.40, Increase, 229.48
Austria, 1987, 2137.0, 7108804.0, 401.39, Increase, 16.99
Austria, 1988, 2069.0, 7125232.0, 405.90, Increase, 4.51
Austria, 1989, 1853.0, 7143783.0, 358.05, Decrease, -47.85
Austria, 1990, 1895.0, 7180241.0, 358.69, Increase, 0.64
Austria, 1991, 1824.0, 7239950.0, 353.53, Decrease, -5.16
Austria, 1992, 1773.0, 7313903.0, 356.32, Increase, 2.79
Austria, 1993, 1763.0, 7387661.0, 342.59, Decrease, -13.73
Austria, 1994, 1705.0, 7440893.0, 348.18, Increase, 5.59
Austria, 1995, 1773.0, 7465754.0, 342.92, Decrease, -5.26
Austria, 1996, 1784.0, 7477951.0, 347.27, Increase, 4.35
Austria, 1997, 1778.0, 7493207.0, 342.45, Decrease, -4.82
Austria, 1998, 1597.0, 7512760.0, 298.54, Decrease, -43.91
Austria, 1999, 1554.0, 7534998.0, 288.34, Decrease, -10.20
Austria, 2000, 1560.0, 7560921.0, 281.37, Decrease, -6.97
Austria, 2001, 1582.0, 7590845.0, 288.50, Increase, 7.13
Austria, 2002, 1491.0, 7633824.0, 262.32, Decrease, -26.18
Austria, 2003, 1552.0, 7676997.0, 276.70, Increase, 14.38
Austria, 2004, 1455.0, 7714100.0, 256.86, Decrease, -19.84
Austria, 2005, 1424.0, 7763170.0, 254.48, Decrease, -2.38
Austria, 2006, 1396.0, 7812962.0, 234.61, Decrease, -19.87
Austria, 2007, 1298.0, 7852254.0, 219.12, Decrease, -15.49
Austria, 2008, 1287.0, 7881737.0, 217.79, Decrease, -1.33
Austria, 2009, 1271.0, 7910370.0, 217.41, Decrease, -0.38
Austria, 2010, 1273.0, 7935488.0, 212.04, Decrease, -5.37
Austria, 2011, 1265.0, 7957556.0, 207.80, Decrease, -4.24
Austria, 2012, 1288.0, 7984957.0, 211.50, Increase, 3.70
Austria, 2013, 1276.0, 8026295.0, 206.66, Decrease, -4.84
Austria, 2014, 1289.0, 8078071.0, 211.61, Increase, 4.95
Austria, 2015, 1314.0, 8144650.0, 209.83, Decrease, -1.78
Austria, 2016, 1329.0, 8410844.0, 209.67, Decrease, -0.16
Azerbaijan, 1990, 1142.0, 9273932.0, 170.77, N/A, N/A
Azerbaijan, 1991, 124.0, 6199400.0, 26.09, Decrease, -144.68
Azerbaijan, 1992, 134.0, 6302100.0, 32.28, Increase, 6.19
Azerbaijan, 1993, 143.0, 6377800.0, 34.63, Increase, 2.35
Azerbaijan, 1994, 95.0, 6458300.0, 27.99, Decrease, -6.64
Azerbaijan, 1995, 50.0, 6544600.0, 12.47, Decrease, -15.52
Azerbaijan, 1996, 52.0, 6626200.0, 14.75, Increase, 2.28
Azerbaijan, 1997, 70.0, 6687100.0, 18.00, Increase, 3.25
Azerbaijan, 1998, 100.0, 6864000.0, 17.43, Decrease, -0.57
Azerbaijan, 1999, 58.0, 7071400.0, 10.98, Decrease, -6.45
Azerbaijan, 2000, 62.0, 7265850.0, 9.57, Decrease, -1.41
Azerbaijan, 2001, 141.0, 7433800.0, 24.07, Increase, 14.50
Azerbaijan, 2002, 236.0, 7519700.0, 49.96, Increase, 25.89
Azerbaijan, 2003, 112.0, 7586250.0, 21.83, Decrease, -28.13
